"Motherland", https://chipdelmal.github.io/, #f72585, #2614ed, #5ddeb1, #f038ff, #e2ef70, #9381ff
"Pastel", https://chipdelmal.github.io/, #a0c4ff, #e0c3fc, #ffd6a5, #caffbf, #d0d1ff
"Muted", https://chipdelmal.github.io/, #02AD9A, #B36FA0, #E16D5D, #E84E73, #C8C4E4, #89C074, #6F566B, #FF9293, #1541AE, #9DB4AF
"Maps", https://chipdelmal.github.io/, #75393E, #58586B, #9BBFCE, #F0E6D9, #faf9f9
"Risk Levels", https://chipdelmal.github.io/, #ffffff, #deffd7, #d3f6b8, #e9e1a7, #f7c176, #ff9e50, #ff7a4c, #f25655, #da3263, #b21d71, #711676
"Colorful pt1",https://chipdelmal.github.io/, #1e1a75, #a11477, #e13661, #ff6f4b, #ffa951, #6B41BF, #A25ED9, #F978A7, #4472CA, #0fa3b1, #b5e2fa
"Colorful pt2",https://chipdelmal.github.io/, #889BC7, #BEE600, #ecd915, #B5AED2, #f9f7f3, #B6B6B6, #F5565B, #692256
